Tick,RunF64,RunF32,RunI64,RunI32
M:38 N:7,7.094e-05,7.285e-05,6.844e-05,6.907e-05
M:38 N:8,8.208e-05,8.362e-05,7.76e-05,7.768e-05
M:38 N:9,8.991e-05,8.834e-05,8.622e-05,8.655e-05
M:38 N:10,0.00010278,9.702e-05,9.426e-05,9.422e-05
M:38 N:11,0.00010947,0.00010548,0.00010805,0.00010449
M:38 N:12,0.00011642,0.00011616,0.0001207,0.00011135
M:38 N:13,0.00012713,0.00012294,0.00012332,0.00012187
M:38 N:14,0.00013605,0.00013386,0.00013262,0.00012844
M:38 N:15,0.0001459,0.00014531,0.00014088,0.00014023
M:38 N:16,0.00015698,0.00015311,0.00015146,0.00014933
M:38 N:17,0.00016845,0.00016529,0.00015738,0.00015693
M:38 N:18,0.00017248,0.00016859,0.0001668,0.0001681
M:38 N:19,0.00018965,0.00018531,0.00018482,0.00018486
M:38 N:20,0.00018998,0.00019608,0.00019291,0.00019447
M:38 N:21,0.00019976,0.00019598,0.00019251,0.00019048
M:38 N:22,0.00021324,0.00021022,0.00020174,0.00020721
M:38 N:23,0.00023048,0.00021488,0.0002122,0.00021191
M:38 N:24,0.00022979,0.00022485,0.00021925,0.00021926
M:38 N:25,0.00023847,0.00023986,0.00022965,0.0002263
M:38 N:26,0.0002614,0.00024455,0.00023801,0.00023455
M:38 N:27,0.00026777,0.00025503,0.00025299,0.00025128
M:38 N:28,0.000274,0.00027499,0.0002569,0.00025769
M:38 N:29,0.0002795,0.00027497,0.00027173,0.00028628
M:38 N:30,0.00029516,0.00028183,0.00027823,0.00027299
M:38 N:31,0.00029227,0.00028701,0.00031868,0.00027574
M:38 N:32,0.0002979,0.0002958,0.00029572,0.00028858
M:38 N:33,0.00031917,0.00032177,0.00032387,0.00031526
M:38 N:34,0.00032001,0.00031554,0.00036148,0.00030438
M:38 N:35,0.0003259,0.00032544,0.00032607,0.00032059
M:38 N:36,0.00034225,0.00033182,0.00034785,0.0003244
M:38 N:37,0.00040642,0.00033905,0.00033611,0.00032989
M:38 N:38,0.00036699,0.00035882,0.00035854,0.0003566
M:39 N:1,1.637e-05,1.596e-05,1.636e-05,1.548e-05
M:39 N:2,2.608e-05,2.597e-05,2.483e-05,2.507e-05
M:39 N:3,3.502e-05,3.687e-05,3.474e-05,3.63e-05
M:39 N:4,4.436e-05,4.605e-05,4.586e-05,4.37e-05
M:39 N:5,5.381e-05,5.622e-05,5.283e-05,5.47e-05
M:39 N:6,6.436e-05,6.643e-05,6.412e-05,6.266e-05
M:39 N:7,7.737e-05,7.558e-05,7.245e-05,7.758e-05
M:39 N:8,9.035e-05,8.894e-05,8.644e-05,8.717e-05
M:39 N:9,9.443e-05,9.377e-05,8.986e-05,9.016e-05
M:39 N:10,0.00010225,0.00010478,0.00010321,0.00010354
M:39 N:11,0.00011209,0.0001147,0.00010888,0.00011037
M:39 N:12,0.00012348,0.00011965,0.00012778,0.00011876
M:39 N:13,0.00013622,0.00013198,0.00012894,0.00012867
M:39 N:14,0.00014526,0.00014683,0.00013912,0.00013678
M:39 N:15,0.00015183,0.00015135,0.00015023,0.00014742
M:39 N:16,0.00016171,0.00015776,0.00015557,0.00015331
M:39 N:17,0.00017626,0.00017034,0.00016698,0.0001642
M:39 N:18,0.00018023,0.00017698,0.00017714,0.00017232
M:39 N:19,0.00019854,0.00019984,0.00019344,0.0002006
M:39 N:20,0.00022476,0.000212,0.00020756,0.00020686
M:39 N:21,0.00021549,0.00021074,0.00020376,0.0002052
M:39 N:22,0.00021741,0.00022187,0.00021245,0.00021486
M:39 N:23,0.00022878,0.00023729,0.00022168,0.00022392
M:39 N:24,0.00023703,0.00023656,0.0002337,0.00023078
M:39 N:25,0.0002484,0.00024584,0.00024616,0.00023974
M:39 N:26,0.00025726,0.00025471,0.00025598,0.00025061
M:39 N:27,0.00026651,0.00027171,0.00025867,0.00026161
M:39 N:28,0.00029435,0.00027386,0.00026931,0.00026581
M:39 N:29,0.00028632,0.00028246,0.000284,0.00028001
M:39 N:30,0.00030049,0.00029443,0.00029511,0.00028847
M:39 N:31,0.00032184,0.00030475,0.0003001,0.00031934
M:39 N:32,0.00032311,0.00032557,0.00030483,0.00032681
M:39 N:33,0.00035739,0.00033569,0.00034472,0.00033772
M:39 N:34,0.00034636,0.00033616,0.00033863,0.00032246
M:39 N:35,0.00034555,0.00034421,0.0003353,0.00033238
M:39 N:36,0.00035697,0.00035944,0.00036189,0.00034658
M:39 N:37,0.00036528,0.00036297,0.00035989,0.00035806
M:39 N:38,0.00040527,0.00038877,0.00037725,0.00037566
M:39 N:39,0.00039478,0.00039051,0.00039426,0.00037404
M:40 N:1,1.718e-05,1.637e-05,1.812e-05,1.661e-05
M:40 N:2,2.723e-05,2.833e-05,2.853e-05,2.563e-05
M:40 N:3,3.673e-05,3.66e-05,3.594e-05,3.562e-05
M:40 N:4,4.911e-05,4.782e-05,4.602e-05,4.614e-05
M:40 N:5,5.731e-05,5.911e-05,5.749e-05,5.537e-05
M:40 N:6,6.946e-05,6.815e-05,6.52e-05,6.555e-05
M:40 N:7,8.742e-05,7.823e-05,7.559e-05,7.491e-05
M:40 N:8,8.807e-05,8.736e-05,8.492e-05,8.451e-05
M:40 N:9,9.81e-05,9.947e-05,9.496e-05,0.00010477
M:40 N:10,0.00011288,0.00010596,0.00010948,0.00010587
M:40 N:11,0.00011776,0.00011748,0.00011452,0.0001177
M:40 N:12,0.00013016,0.00012822,0.00013688,0.0001233
M:40 N:13,0.00014065,0.0001381,0.00013742,0.00013567
M:40 N:14,0.0001479,0.00014773,0.0001484,0.00014442
M:40 N:15,0.00016227,0.000169,0.0001538,0.00015461
M:40 N:16,0.00017886,0.00016717,0.00016606,0.00016637
M:40 N:17,0.00017919,0.00018219,0.00017932,0.00017969
M:40 N:18,0.00019193,0.00018836,0.00018583,0.00018645
M:40 N:19,0.00020893,0.00020703,0.00020405,0.00020741
M:40 N:20,0.00021065,0.00022311,0.00021939,0.00021631
M:40 N:21,0.00022232,0.00021784,0.00021287,0.00022223
M:40 N:22,0.00024104,0.00026366,0.00023013,0.00022906
M:40 N:23,0.00025926,0.00025747,0.00023332,0.00023749
M:40 N:24,0.00026431,0.00025573,0.00024853,0.00024707
M:40 N:25,0.00028987,0.00027378,0.00025281,0.00025828
M:40 N:26,0.0002991,0.0002715,0.00026261,0.00027355
M:40 N:27,0.00027984,0.00027941,0.0003121,0.00029188
M:40 N:28,0.00029231,0.00031599,0.0002825,0.00028326
