Tick,RunF64,RunF32,RunI64,RunI32
M:35 N:35,5.518e-05,5.529e-05,4.866e-05,5.516e-05
M:36 N:1,3.8e-06,3.78e-06,4.83e-06,4.8e-06
M:36 N:2,5.34e-06,5.37e-06,5.4e-06,6.33e-06
M:36 N:3,6.67e-06,6.6e-06,6.65e-06,7.84e-06
M:36 N:4,8e-06,8.09e-06,7.81e-06,9.38e-06
M:36 N:5,8.93e-06,8.94e-06,8.93e-06,1.074e-05
M:36 N:6,1.029e-05,1.038e-05,1.038e-05,1.202e-05
M:36 N:7,1.16e-05,1.149e-05,1.096e-05,1.319e-05
M:36 N:8,1.307e-05,1.295e-05,1.21e-05,1.46e-05
M:36 N:9,1.428e-05,1.424e-05,1.326e-05,1.593e-05
M:36 N:10,1.745e-05,1.569e-05,1.473e-05,1.719e-05
M:36 N:11,1.726e-05,1.688e-05,1.542e-05,1.86e-05
M:36 N:12,1.825e-05,1.857e-05,1.67e-05,2.004e-05
M:36 N:13,1.977e-05,1.961e-05,1.787e-05,2.124e-05
M:36 N:14,2.107e-05,2.094e-05,1.961e-05,2.251e-05
M:36 N:15,2.229e-05,2.21e-05,2.025e-05,2.382e-05
M:36 N:16,2.402e-05,2.364e-05,2.118e-05,2.515e-05
M:36 N:17,2.53e-05,2.531e-05,2.285e-05,2.669e-05
M:36 N:18,2.704e-05,2.764e-05,2.396e-05,2.843e-05
M:36 N:19,2.87e-05,2.83e-05,2.538e-05,2.925e-05
M:36 N:20,3.494e-05,3.458e-05,2.62e-05,3.059e-05
M:36 N:21,3.128e-05,3.094e-05,3.496e-05,3.328e-05
M:36 N:22,3.282e-05,3.243e-05,3.442e-05,3.433e-05
M:36 N:23,3.549e-05,3.415e-05,3.143e-05,3.507e-05
M:36 N:24,3.591e-05,3.559e-05,3.126e-05,3.607e-05
M:36 N:25,3.699e-05,3.706e-05,3.213e-05,3.727e-05
M:36 N:26,3.86e-05,3.786e-05,3.307e-05,3.835e-05
M:36 N:27,4.02e-05,3.96e-05,3.513e-05,4.064e-05
M:36 N:28,4.204e-05,4.133e-05,3.602e-05,4.128e-05
M:36 N:29,4.344e-05,4.239e-05,3.655e-05,4.307e-05
M:36 N:30,4.478e-05,4.474e-05,3.842e-05,4.448e-05
M:36 N:31,4.76e-05,4.882e-05,3.986e-05,4.819e-05
M:36 N:32,5.003e-05,5.353e-05,4.148e-05,4.714e-05
M:36 N:33,5.02e-05,5.017e-05,4.946e-05,5.428e-05
M:36 N:34,5.698e-05,5.665e-05,4.92e-05,5.677e-05
M:36 N:35,5.825e-05,5.778e-05,5.122e-05,6.095e-05
M:36 N:36,5.977e-05,5.976e-05,5.258e-05,5.952e-05
M:37 N:1,3.96e-06,3.85e-06,5.14e-06,5.05e-06
M:37 N:2,5.62e-06,5.42e-06,6.24e-06,6.59e-06
M:37 N:3,7.08e-06,6.79e-06,7.08e-06,8.29e-06
M:37 N:4,8.41e-06,8.53e-06,8.29e-06,9.96e-06
M:37 N:5,9.56e-06,9.33e-06,9.54e-06,1.132e-05
M:37 N:6,1.094e-05,1.074e-05,1.086e-05,1.27e-05
M:37 N:7,1.227e-05,1.199e-05,1.165e-05,1.398e-05
M:37 N:8,1.391e-05,1.35e-05,1.29e-05,1.537e-05
M:37 N:9,1.516e-05,1.496e-05,1.392e-05,1.681e-05
M:37 N:10,1.672e-05,1.639e-05,1.508e-05,1.818e-05
M:37 N:11,1.809e-05,1.774e-05,1.64e-05,2.111e-05
M:37 N:12,2.428e-05,1.912e-05,1.867e-05,2.091e-05
M:37 N:13,2.078e-05,2.071e-05,1.876e-05,2.22e-05
M:37 N:14,2.364e-05,2.329e-05,2.117e-05,2.592e-05
M:37 N:15,2.417e-05,2.32e-05,2.115e-05,3.022e-05
M:37 N:16,2.64e-05,2.498e-05,2.262e-05,2.823e-05
